CampaignCode,MarketingSpend
CAM001,88810
CAM002,19592
CAM003,8278
CAM004,41048
CAM005,37098
CAM006,34256
CAM007,23289
CAM008,18434
CAM009,93696
CAM010,76482
CAM011,16395
CAM012,82397
CAM013,60302
CAM014,9165
CAM015,8905
CAM016,17280
CAM017,33657
CAM018,35495
CAM019,71237
CAM020,83907
CAM001,8478
CAM002,78563
CAM003,31062
CAM004,98850
CAM005,90181
CAM006,96924
CAM007,76426
CAM008,59987
CAM009,33893
CAM010,63878
CAM011,82236
CAM012,41463
CAM013,5851
CAM014,25926
CAM015,96506
CAM016,60392
CAM017,49597
CAM018,41421
CAM019,25379
CAM020,33221
CAM001,49118
CAM002,18396
CAM003,17156
CAM004,54797
CAM005,17676
CAM006,52052
CAM007,50082
CAM008,84131
CAM009,39671
CAM010,10695
CAM011,65217
CAM012,75284
CAM013,21361
CAM014,54615
CAM015,15328
CAM016,77357
CAM017,43427
CAM018,87397
CAM019,86070
CAM020,52400
CAM001,80674
CAM002,30203
CAM003,97349
CAM004,14116
CAM005,11006
CAM006,91673
CAM007,34871
CAM008,42930
CAM009,15458
CAM010,35512
CAM011,18238
CAM012,54823
CAM013,41434
CAM014,64429
CAM015,88320
CAM016,52819
CAM017,26319
CAM018,53520
CAM019,51566
CAM020,32460
CAM001,92841
CAM002,39993
CAM003,96988
CAM004,94593
CAM005,89939
CAM006,14358
CAM007,84840
CAM008,88227
CAM009,27431
CAM010,75010
CAM011,37087
CAM012,26417
CAM013,65589
CAM014,54735
CAM015,40382
CAM016,88886
CAM017,95198
CAM018,78000
CAM019,33785
CAM020,94733
CAM001,47504
CAM002,12331
CAM003,35021
CAM004,9207
CAM005,46347
CAM006,57581
CAM007,40093
CAM008,13675
CAM009,32653
CAM010,79341
CAM011,99098
CAM012,46245
CAM013,32869
CAM014,90909
CAM015,70435
CAM016,56856
CAM017,89259
CAM018,65142
CAM019,23726
CAM020,39718
CAM001,23301
CAM002,37325
CAM003,78579
CAM004,75644
CAM005,39438
CAM006,81622
CAM007,61155
CAM008,81484
CAM009,57350
CAM010,52447
CAM011,33746
CAM012,23131
CAM013,71784
CAM014,69686
CAM015,16915
CAM016,11175
CAM017,19371
CAM018,25033
CAM019,87240
CAM020,25969
CAM001,94192
CAM002,60333
CAM003,83172
CAM004,13326
CAM005,55432
CAM006,55019
CAM007,83104
CAM008,66348
CAM009,74352
CAM010,37953
CAM011,77512
CAM012,6504
CAM013,94166
CAM014,99466
CAM015,20014
CAM016,94353
CAM017,75381
CAM018,39973
CAM019,89012
CAM020,49587
CAM001,19621
CAM002,43469
CAM003,61985
CAM004,25730
CAM005,64470
CAM006,5425
CAM007,99646
CAM008,99329
CAM009,39522
CAM010,70612
CAM011,28416
CAM012,71542
CAM013,18947
CAM014,86959
CAM015,44117
CAM016,88748
CAM017,71540
CAM018,84818
CAM019,31071
CAM020,25032
CAM001,54009
CAM002,26174
CAM003,75697
CAM004,74514
CAM005,5074
CAM006,83504
CAM007,47487
CAM008,69042
CAM009,7552
CAM010,19662
CAM011,52576
CAM012,45306
CAM013,36385
CAM014,12592
CAM015,36571
CAM016,79364
CAM017,15322
CAM018,16226
CAM019,68699
CAM020,14071
CAM001,74822
CAM002,21483
CAM003,21828
CAM004,91474
CAM005,67296
CAM006,77063
CAM007,26643
CAM008,39741
CAM009,74163
CAM010,84507
CAM011,60461
CAM012,32760
CAM013,75686
CAM014,95422
CAM015,31365
CAM016,98447
CAM017,45857
CAM018,57296
CAM019,93039
CAM020,90180
CAM001,53944
CAM002,62422
CAM003,72839
CAM004,64177
CAM005,20860
CAM006,37493
CAM007,34451
CAM008,13392
CAM009,49313
CAM010,7757
CAM011,82110
CAM012,77603
CAM013,35161
CAM014,82128
CAM015,33864
CAM016,5942
CAM017,14305
CAM018,97778
CAM019,87719
CAM020,12716
CAM001,35007
CAM002,13834
CAM003,9117
CAM004,48309
CAM005,14287
CAM006,72391
CAM007,36195
CAM008,41500
CAM009,92684
CAM010,68624
CAM011,33080
CAM012,75678
CAM013,22342
CAM014,99811
CAM015,79847
CAM016,80525
CAM017,66953
CAM018,36850
CAM019,66993
CAM020,58354
CAM001,29957
CAM002,17363
CAM003,17704
CAM004,91374
CAM005,61498
CAM006,51438
CAM007,60519
CAM008,58883
CAM009,66213
CAM010,12100
CAM011,93259
CAM012,90649
CAM013,89696
CAM014,17899
CAM015,12944
CAM016,57772
CAM017,49473
CAM018,19322
CAM019,37591
CAM020,30112
CAM001,29931
CAM002,75292
CAM003,63800
CAM004,23373
CAM005,60296
CAM006,29050
CAM007,41509
CAM008,65637
CAM009,37742
CAM010,14880
CAM011,63082
CAM012,77132
CAM013,17833
CAM014,11630
CAM015,90477
CAM016,75855
CAM017,6934
CAM018,17224
CAM019,35982
CAM020,26798
CAM001,58269
CAM002,68653
CAM003,68092
CAM004,33016
CAM005,57565
CAM006,12685
CAM007,26579
CAM008,54672
CAM009,5282
CAM010,56173
CAM011,39760
CAM012,64638
CAM013,42388
CAM014,60444
CAM015,96303
CAM016,77845
CAM017,91752
CAM018,99163
CAM019,68788
CAM020,25289
CAM001,29890
CAM002,43890
CAM003,33534
CAM004,12665
CAM005,80914
CAM006,76066
CAM007,12989
CAM008,46104
CAM009,12492
CAM010,11572
CAM011,81569
CAM012,67493
CAM013,70909
CAM014,74615
CAM015,25635
CAM016,12455
CAM017,71562
CAM018,15500
CAM019,29356
CAM020,13981
CAM001,82992
CAM002,13907
CAM003,93501
CAM004,35828
CAM005,57923
CAM006,20713
CAM007,79668
CAM008,37271
CAM009,80880
CAM010,82924
CAM011,10209
CAM012,86183
CAM013,15745
CAM014,59948
CAM015,91163
CAM016,81503
CAM017,79085
CAM018,73522
CAM019,46467
CAM020,39179
CAM001,31772
CAM002,92782
CAM003,98872
CAM004,46180
CAM005,36285
CAM006,39814
CAM007,56876
CAM008,22154
CAM009,93039
CAM010,89607
CAM011,44321
CAM012,64929
CAM013,46441
CAM014,14508
CAM015,6220
CAM016,65068
CAM017,86416
CAM018,78792
CAM019,18104
CAM020,14602
CAM001,75468
CAM002,32938
CAM003,71307
CAM004,39760
CAM005,22361
CAM006,50745
CAM007,14016
CAM008,37018
CAM009,53434
CAM010,42353
CAM011,25676
CAM012,62433
CAM013,76200
CAM014,97214
CAM015,44651
CAM016,85173
CAM017,90717
CAM018,74329
CAM019,6025
CAM020,92538
CAM001,77692
CAM002,44240
CAM003,91951
CAM004,18577
CAM005,22601
CAM006,39664
CAM007,20129
CAM008,19029
CAM009,77512
CAM010,25374
CAM011,40697
CAM012,41930
CAM013,84276
CAM014,32607
CAM015,99058
CAM016,49942
CAM017,31685
CAM018,95111
CAM019,88130
CAM020,39600
CAM001,71244
CAM002,69032
CAM003,37914
CAM004,11658
CAM005,17097
CAM006,88136
CAM007,60518
CAM008,41265
CAM009,10778
CAM010,5464
CAM011,48719
CAM012,22146
CAM013,88507
CAM014,39335
CAM015,26178
CAM016,62912
CAM017,77309
CAM018,97493
CAM019,61057
CAM020,78519
CAM001,6267
CAM002,19663
CAM003,14862
CAM004,95573
CAM005,24536
CAM006,76511
CAM007,9722
CAM008,53393
CAM009,81350
CAM010,77420
CAM011,24410
CAM012,61333
CAM013,21704
CAM014,10482
CAM015,45404
CAM016,52795
CAM017,10229
CAM018,51898
CAM019,32535
CAM020,94399
CAM001,37706
CAM002,92416
CAM003,18473
CAM004,51357
CAM005,78385
CAM006,58264
CAM007,86351
CAM008,25257
CAM009,36029
CAM010,26299
CAM011,28206
CAM012,59040
CAM013,8248
CAM014,28509
CAM015,48540
CAM016,58964
CAM017,92806
CAM018,37527
CAM019,39970
CAM020,25866
CAM001,96917
CAM002,19168
CAM003,55140
CAM004,10075
CAM005,66694
CAM006,34154
CAM007,31158
CAM008,65332
CAM009,50830
CAM010,45001
CAM011,34831
CAM012,34219
CAM013,8101
CAM014,91511
CAM015,30313
CAM016,57227
CAM017,48025
CAM018,41517
CAM019,14099
CAM020,41585
CAM001,51025
CAM002,89080
CAM003,71768
CAM004,57386
CAM005,94065
CAM006,75282
CAM007,48404
CAM008,8617
CAM009,20118
CAM010,39237
CAM011,28405
CAM012,81099
CAM013,39795
CAM014,10014
CAM015,19208
CAM016,83193
CAM017,61959
CAM018,50309
CAM019,46114
CAM020,62199
CAM001,84457
CAM002,72033
CAM003,20157
CAM004,55488
CAM005,80574
CAM006,29914
CAM007,38386
CAM008,10817
CAM009,97901
CAM010,62154
CAM011,5221
CAM012,73146
CAM013,75575
CAM014,95027
CAM015,99297
CAM016,92900
CAM017,30825
CAM018,52739
CAM019,61531
CAM020,14171
CAM001,92062
CAM002,48279
CAM003,86678
CAM004,46145
CAM005,91951
CAM006,21334
CAM007,99339
CAM008,44363
CAM009,71469
CAM010,45538
CAM011,92410
CAM012,58528
CAM013,47753
CAM014,57743
CAM015,96384
CAM016,43752
CAM017,77667
CAM018,21683
CAM019,30144
CAM020,60108
CAM001,92153
CAM002,54695
CAM003,93777
CAM004,27810
CAM005,85676
CAM006,79593
CAM007,44446
CAM008,58225
CAM009,76819
CAM010,5053
CAM011,44829
CAM012,42606
CAM013,32549
CAM014,61346
CAM015,81019
CAM016,84516
CAM017,90813
CAM018,47237
CAM019,65946
CAM020,62905
CAM001,62954
CAM002,93555
CAM003,33010
CAM004,72000
CAM005,67021
CAM006,27241
CAM007,91356
CAM008,16114
CAM009,42196
CAM010,72561
CAM011,92012
CAM012,87960
CAM013,86167
CAM014,48933
CAM015,17240
CAM016,35784
CAM017,93184
CAM018,45687
CAM019,34444
CAM020,31100
CAM001,24313
CAM002,8201
CAM003,11057
CAM004,37092
CAM005,67277
CAM006,85120
CAM007,14545
CAM008,64692
CAM009,59321
CAM010,87544
CAM011,80454
CAM012,30485
CAM013,99155
CAM014,96272
CAM015,55328
CAM016,69799
CAM017,57383
CAM018,36979
CAM019,24342
CAM020,90990
CAM001,95128
CAM002,5726
CAM003,18970
CAM004,60724
CAM005,33683
CAM006,28053
CAM007,96214
CAM008,72889
CAM009,65889
CAM010,11582
CAM011,78060
CAM012,37662
CAM013,20906
CAM014,64829
CAM015,22477
CAM016,65901
CAM017,92500
CAM018,74616
CAM019,78259
CAM020,83047
CAM001,46588
CAM002,63008
CAM003,85301
CAM004,99276
CAM005,71162
CAM006,60933
CAM007,76810
CAM008,63446
CAM009,25861
CAM010,67216
CAM011,63991
CAM012,38972
CAM013,37406
CAM014,88579
CAM015,41347
CAM016,73327
CAM017,68517
CAM018,87149
CAM019,36358
CAM020,40992
CAM001,62654
CAM002,15155
CAM003,98525
CAM004,42450
CAM005,35735
CAM006,40614
CAM007,49020
CAM008,46904
CAM009,75798
CAM010,15561
CAM011,23136
CAM012,24769
CAM013,35311
CAM014,55205
CAM015,95957
CAM016,25028
CAM017,97591
